season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
4,18,81,The Prestidigitation Approximation,Mark Cendrowski,Story by: Bill Prady & Steve Holland & Eddie GorodetskyTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,2011-03-10,3X6668,12060000.0
4,19,82,The Zarnecki Incursion,Peter Chakos,Story by: Chuck Lorre & Steven Molaro & Maria FerrariTeleplay by: Bill Prady & Dave Goetsch & Jim Reynolds,2011-03-31,3X6669,11920000.0
4,20,83,The Herb Garden Germination,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Eddie GorodetskyTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2011-04-07,3X6670,11400000.0
4,21,84,The Agreement Dissection,Mark Cendrowski,Story by: Bill Prady & Dave Goetsch & Eddie GorodetskyTeleplay by: Chuck Lorre & Steven Molaro & Eric Kaplan,2011-04-28,3X6671,10710000.0
4,22,85,The Wildebeest Implementation,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by: Bill Prady & Eddie Gorodetsky & Maria Ferrari,2011-05-05,3X6672,10500000.0
4,23,86,The Engagement Reaction,Howard Murray,Story by: Bill Prady & Eric Kaplan & Jim ReynoldsTeleplay by: Chuck Lorre & Steven Molaro & Steve Holland,2011-05-12,3X6673,10780000.0
4,24,87,The Roommate Transmogrification,Mark Cendrowski,Story by: Chuck Lorre & Steven Molaro & Eddie GorodetskyTeleplay by: Bill Prady & Eric Kaplan & Jim Reynolds,2011-05-19,3X6674,11300000.0
5,1,88,The Skank Reflex Analysis,Mark Cendrowski,Story by: Eric Kaplan & Maria Ferrari & Anthony Del BroccoloTeleplay by: Chuck Lorre & Bill Prady & Steven Molaro,2011-09-22,3X6851,14300000.0
5,2,89,The Infestation Hypothesis,Mark Cendrowski,Story by: Bill Prady & Steven Molaro & Maria FerrariTeleplay by: Chuck Lorre & Jim Reynolds & Steve Holland,2011-09-22,3X6852,14940000.0
5,3,90,The Pulled Groin Extrapolation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by: Bill Prady & Steven Molaro & Dave Goetsch,2011-09-29,3X6853,14740000.0
5,4,91,The Wiggly Finger Catalyst,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Anthony Del BroccoloTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2011-10-06,3X6854,13920000.0
5,5,92,The Russian Rocket Reaction,Mark Cendrowski,Story by: Bill Prady & Steven Molaro & Jim ReynoldsTeleplay by: Chuck Lorre & Eric Kaplan & Maria Ferrari,2011-10-13,3X6855,13580000.0
5,6,93,The Rhinitis Revelation,Howard Murray,Story by: Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by: Bill Prady & Steven Molaro & Jim Reynolds,2011-10-20,3X6857,14930000.0
5,7,94,The Good Guy Fluctuation,Mark Cendrowski,Story by: Chuck Lorre & Dave Goetsch & Maria FerrariTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2011-10-27,3X6856,14540000.0
5,8,95,The Isolation Permutation,Mark Cendrowski,Story by: Chuck Lorre & Eric Kaplan & Tara HernandezTeleplay by: Bill Prady & Steven Molaro & Steve Holland,2011-11-03,3X6858,15980000.0
